name|sid|call|icon|city|state|tagline
KSMU-FM|170|KSMU|http://media.npr.org/images/stations/logos/ksmu_fm.gif|Springfield|MO|On the Web, On the Air, and Where You Live
KSMS-FM|171|KSMS|http://media.npr.org/images/stations/logos/ksms_fm.gif|Branson|MO|On the Web, On the Air, and Where You Live
Jefferson Public Radio|172|None|None|Ashland|None|Jefferson Public Radio
KSOR-FM|173|KSOR|http://media.npr.org/images/stations/logos/ksor_fm.gif|Ashland|OR|Classics & News Service of Jefferson Public Radio
KAGI-AM|174|KAGI|http://media.npr.org/images/stations/logos/kagi_am.gif|Ashland|OR|News & Information Service of Jefferson Public Radio
KNCA-FM|175|KNCA|http://media.npr.org/images/stations/logos/knca_fm.gif|Burney|CA|Rhythm & News Service of Jefferson Public Radio
KNSQ-FM|176|KNSQ|http://media.npr.org/images/stations/logos/knsq_fm.gif|Mt. Shasta|CA|Rhythm & News Service of Jefferson Public Radio
KNYR-FM|177|KNYR|http://media.npr.org/images/stations/logos/knyr_fm.gif|Yreka|CA|Classics & News Service of Jefferson Public Radio
KSBA-FM|178|KSBA|http://media.npr.org/images/stations/logos/ksba_fm.gif|Coos Bay|OR|Rhythm & News Service of Jefferson Public Radio
KSJK-AM|179|KSJK|http://media.npr.org/images/stations/logos/ksjk_am.gif|Talent|OR|News & Information Service of Jefferson Public Radio
KSKF-FM|180|KSKF|http://media.npr.org/images/stations/logos/kskf_fm.gif|Klamath Falls|OR|Rhythm & News Service of Jefferson Public Radio
KSMF-FM|181|KSMF|http://media.npr.org/images/stations/logos/ksmf_fm.gif|Ashland|OR|Rhythm & News Service of Jefferson Public Radio
KSRG-FM|182|KSRG|http://media.npr.org/images/stations/logos/ksrg_fm.gif|Ashland|OR|Classics & News Service of Jefferson Public Radio
KSRS-FM|183|KSRS|http://media.npr.org/images/stations/logos/ksrs_fm.gif|Roseburg|OR|Classics & News Service of Jefferson Public Radio
KOOZ-FM|184|KOOZ|http://media.npr.org/images/stations/logos/kooz_fm.gif|Myrtle Point|OR|Classics & News Service of Jefferson Public Radio
KNHT-FM|185|KNHT|http://media.npr.org/images/stations/logos/knht_fm.gif|Rio Dell|CA|Classics & News Service of Jefferson Public Radio
KTBR-AM|186|KTBR|http://media.npr.org/images/stations/logos/ktbr_am.gif|Roseburg|OR|News & Information Service of Jefferson Public Radio
KRVM-AM|187|KRVM|http://media.npr.org/images/stations/logos/krvm_am.gif|Eugene|OR|News & Information Service of Jefferson Public Radio
Texas Public Radio|188|None|None|San Antonio|None|Texas Public Radio
KSTX-FM|189|KSTX|http://media.npr.org/images/stations/logos/kstx_fm.gif|San Antonio|TX|News & Views
KTXI-FM|190|KTXI|http://media.npr.org/images/stations/logos/ktxi_fm.gif|Ingram|TX|Words & Music
KSUT-FM|192|KSUT|http://media.npr.org/images/stations/logos/ksut_fm.gif|Ignacio|CO|Four Corners Public Radio
KTOO-FM|195|KTOO|http://media.npr.org/images/stations/logos/ktoo_fm.gif|Juneau|AK|Juneau's 24 hour news station
KUAC-FM|196|KUAC|http://media.npr.org/images/stations/logos/kuac_fm.gif|Fairbanks|AK|Public Radio for Alaska's Interior
KUAF-FM|197|KUAF|http://media.npr.org/images/stations/logos/kuaf_fm.gif|Fayetteville|AR|KUAF - Your indispensable connection to the World
KUAR-FM|199|KUAR|http://media.npr.org/images/stations/logos/kuar_fm.gif|Little Rock|AR|FM 89 Rhythm and News
KLRE-FM|200|KLRE|http://media.npr.org/images/stations/logos/klre_fm.gif|Little Rock|AR|Classical 90.5
KUAZ-FM|201|KUAZ|http://media.npr.org/images/stations/logos/kuaz_fm.gif|Tucson|AZ|Your Source for NPR News and Genuine Jazz
KUAZ-AM|202|KUAZ|http://media.npr.org/images/stations/logos/kuaz_am.gif|Tucson|AZ|Your Source for NPR News and Genuine Jazz
KUCV-FM|204|KUCV|http://media.npr.org/images/stations/logos/kucv_fm.gif|Lincoln|NE|Nebraska's NPR Station
KCNE-FM|205|KCNE|http://media.npr.org/images/stations/logos/kcne_fm.gif|Chadron|NE|Nebraska Public Radio
KHNE-FM|206|KHNE|http://media.npr.org/images/stations/logos/khne_fm.gif|Hastings|NE|Nebraska Public Radio
KLNE-FM|207|KLNE|http://media.npr.org/images/stations/logos/klne_fm.gif|Lexington|NE|Nebraska Public Radio
KMNE-FM|208|KMNE|http://media.npr.org/images/stations/logos/kmne_fm.gif|Bassett|NE|Nebraska Public Radio
KPNE-FM|209|KPNE|http://media.npr.org/images/stations/logos/kpne_fm.gif|North Platte|NE|Nebraska Public Radio
KRNE-FM|210|KRNE|http://media.npr.org/images/stations/logos/krne_fm.gif|Merriman|NE|Nebraska Public Radio
KTNE-FM|211|KTNE|http://media.npr.org/images/stations/logos/ktne_fm.gif|Alliance|NE|Nebraska Public Radio
KXNE-FM|212|KXNE|http://media.npr.org/images/stations/logos/kxne_fm.gif|Norfolk|NE|Nebraska Public Radio
KUER-FM|213|KUER|http://media.npr.org/images/stations/logos/kuer_fm.gif|Salt Lake City|UT|NPR, BBC, local news and jazz music broadcasting to the Intermountain West
Montana Public Radio|214|None|None|Missoula|None|None
KUFM-FM|215|KUFM|http://media.npr.org/images/stations/logos/kufm_fm.gif|Missoula|MT|Montana Public Radio
KAPC-FM|216|KAPC|http://media.npr.org/images/stations/logos/kapc_fm.gif|Butte|MT|Makes Montana Sound as Good as it Looks!
KUFN-FM|217|KUFN|http://media.npr.org/images/stations/logos/kufn_fm.gif|Hamilton|MT|Makes Montana Sound as Good as it Looks!
KUHM-FM|218|KUHM|http://media.npr.org/images/stations/logos/kuhm_fm.gif|Helena|MT|Makes Montana Sound as Good as it Looks!
KUKL-FM|219|KUKL|http://media.npr.org/images/stations/logos/kukl_fm.gif|Kalispell|MT|Makes Montana Sound as Good as it Looks!
KUHF-FM|220|KUHF|http://media.npr.org/images/stations/logos/kuhf_fm.gif|Houston|TX|Houston Public Radio - KUHF News 88.7 and Classical 91.7
KMST-FM|222|KMST|http://media.npr.org/images/stations/logos/kmst_fm.gif|Rolla|MO|None
KUNC-FM|223|KUNC|http://media.npr.org/images/stations/logos/kunc_fm.gif|Greeley|CO|Community Radio for Northern Colorado
KRNI-AM|225|KRNI|http://media.npr.org/images/stations/logos/krni_am.gif|Mason City|IA|IPR enhances civic and cultural connections across the state, strengthening communities and reflecti15
KUNY-FM|226|KUNY|http://media.npr.org/images/stations/logos/kuny_fm.gif|Iowa City|IA|IPR enhances civic and cultural connections across the state, strengthening communities and reflecti15
KUNM-FM|227|KUNM|http://media.npr.org/images/stations/logos/kunm_fm.gif|Albuquerque|NM|New Mexico's Community Powered Public Radio KUNM 89.9
KUNR-FM|228|KUNR|http://media.npr.org/images/stations/logos/kunr_fm.gif|Reno|NV|NPR and more for Northern Nevada and Northeastern California
KUNV-FM|230|KUNV|http://media.npr.org/images/stations/logos/kunv_fm.gif|Las Vegas|NV|Your Jazz Spot in Las Vegas
KUOW-FM|232|KUOW|http://media.npr.org/images/stations/logos/kuow_fm.gif|Seattle|WA|NPR News and Information for the Puget Sound Region
KUSC-FM|233|KUSC|http://media.npr.org/images/stations/logos/kusc_fm.gif|Los Angeles|CA|Classical KUSC
KPSC-FM|236|KPSC|http://media.npr.org/images/stations/logos/kpsc_fm.gif|Palm Springs|CA|Classical KUSC
KUSD-FM|238|KUSD|http://media.npr.org/images/stations/logos/kusd_fm.gif|Vermillion|SD|SDPB Radio
KBHE-FM|239|KBHE|http://media.npr.org/images/stations/logos/kbhe_fm.gif|Rapid City|SD|Enriching Your Life
KCSD-FM|240|KCSD|http://media.npr.org/images/stations/logos/kcsd_fm.gif|Sioux Falls|SD|Enriching Your Life
KDSD-FM|241|KDSD|http://media.npr.org/images/stations/logos/kdsd_fm.gif|Pierpont|SD|Enriching Your Life
KESD-FM|242|KESD|http://media.npr.org/images/stations/logos/kesd_fm.gif|Brookings|SD|Enriching Your Life
KPSD-FM|243|KPSD|http://media.npr.org/images/stations/logos/kpsd_fm.gif|Faith|SD|Enriching Your Life
KQSD-FM|244|KQSD|http://media.npr.org/images/stations/logos/kqsd_fm.gif|Lowry|SD|Enriching Your Life
KTSD-FM|245|KTSD|http://media.npr.org/images/stations/logos/ktsd_fm.gif|Reliance|SD|Enriching Your Life
KZSD-FM|246|KZSD|http://media.npr.org/images/stations/logos/kzsd_fm.gif|Martin|SD|Enriching Your Life
KUSP-FM|247|KUSP|http://media.npr.org/images/stations/logos/kusp_fm.gif|Santa Cruz|CA|Central Coast Public Radio
KUSU-FM|250|KUSU|http://media.npr.org/images/stations/logos/kusu_fm.gif|Logan|UT|Utah Public Radio
KUSR-FM|251|KUSR|http://media.npr.org/images/stations/logos/kusr_fm.gif|Logan|UT|Utah Public Radio
KUT-FM|252|KUT|http://media.npr.org/images/stations/logos/kut_fm.gif|Austin|TX|Experience Austin Texas
KUVO-FM|254|KUVO|http://media.npr.org/images/stations/logos/kuvo_fm.gif|Denver|CO|Denver's Jazz Oasis in the City
KUWR-FM|256|KUWR|http://media.npr.org/images/stations/logos/kuwr_fm.gif|Laramie|WY|Wyoming Public Radio
KBUW-FM|257|KBUW|http://media.npr.org/images/stations/logos/kbuw_fm.gif|Buffalo|WY|Wyoming Public Radio
KDUW-FM|258|KDUW|http://media.npr.org/images/stations/logos/kduw_fm.gif|Douglas|WY|Wyoming Public Radio
KSUW-FM|259|KSUW|http://media.npr.org/images/stations/logos/ksuw_fm.gif|Sheridan|WY|Wyoming Public Radio
KUWA-FM|260|KUWA|http://media.npr.org/images/stations/logos/kuwa_fm.gif|Afton|WY|Wyoming Public Radio
KUWC-FM|261|KUWC|http://media.npr.org/images/stations/logos/kuwc_fm.gif|Casper|WY|Wyoming Public Radio
KUWD-FM|262|KUWD|http://media.npr.org/images/stations/logos/kuwd_fm.gif|Sundance|WY|Wyoming Public Radio
KUWG-FM|263|KUWG|http://media.npr.org/images/stations/logos/kuwg_fm.gif|Gillette|WY|Wyoming Public Radio
KUWJ-FM|264|KUWJ|http://media.npr.org/images/stations/logos/kuwj_fm.gif|Jackson|WY|Wyoming Public Radio
KUWN-FM|265|KUWN|http://media.npr.org/images/stations/logos/kuwn_fm.gif|Newcastle|WY|Wyoming Public Radio
KUWP-FM|266|KUWP|http://media.npr.org/images/stations/logos/kuwp_fm.gif|Powell|WY|Wyoming Public Radio
KUWT-FM|267|KUWT|http://media.npr.org/images/stations/logos/kuwt_fm.gif|Thermopolis|WY|Wyoming Public Radio
KUWX-FM|268|KUWX|http://media.npr.org/images/stations/logos/kuwx_fm.gif|Pinedale|WY|Wyoming Public Radio
KUWZ-FM|269|KUWZ|http://media.npr.org/images/stations/logos/kuwz_fm.gif|Rock Springs|WY|Wyoming Public Radio
KVCR-FM|270|KVCR|http://media.npr.org/images/stations/logos/kvcr_fm.gif|San Bernardino|CA|Learn something new every day
KVLU-FM|271|KVLU|http://media.npr.org/images/stations/logos/kvlu_fm.gif|Beaumont|TX|Member Supported Public Radio
KVPR-FM|273|KVPR|http://media.npr.org/images/stations/logos/kvpr_fm.gif|Fresno|CA|NPR News and Cultural Arts for Central California
KPRX-FM|274|KPRX|http://media.npr.org/images/stations/logos/kprx_fm.gif|Bakersfield|CA|NPR News and Cultural Arts for Central California
KWBU-FM|275|KWBU|http://media.npr.org/images/stations/logos/kwbu_fm.gif|Waco|TX|Waco's NPR
KWGS-FM|276|KWGS|http://media.npr.org/images/stations/logos/kwgs_fm.gif|Tulsa|OK|Public Radio 89.5 from The University of Tulsa
KWIT-FM|277|KWIT|http://media.npr.org/images/stations/logos/kwit_fm.gif|Sioux City|IA|The Intelligent Alternative
KWMU-FM|278|KWMU|http://media.npr.org/images/stations/logos/kwmu_fm.gif|St. Louis|MO|Award-winning in-depth news, insightful discussion, and entertaining programs
KWSU-AM|279|KWSU|http://media.npr.org/images/stations/logos/kwsu_am.gif|Pullman|WA|Northwest Public Radio, Your NPR News Station
